"Presenter name","Talk Number","Coauthors","Affiliations","Title","Topics (select all that apply)","Keywords","Abstract (max 1500 characters)"
"Romain Fournier [1]",,"David Reich [2, 3, 4, 5], Pier Palamara [1,6]","[1] Department of Statistics, University of Oxford, Oxford, United Kingdom, [2] Department of Genetics, Harvard Medical School, Harvard, Boston, USA, [3] Broad Institute of Harvard and MIT, Cambridge, USA, [4] Department of Human Evolutionary Biology, Harvard University, Cambridge, USA, [5] Howard Hughes Medical Institute, Harvard Medical School, Boston, USA [6] Wellcome Centre for Human Genetics, University of Oxford, Oxford, United Kingdom","Haplotype-based reconstruction of recent effective population size in modern and ancient DNA samples reveals fine-scale demographic history","Population genetics","effective population size, Identity-By-Descent, Linkage Disequilibrium, ancient DNA","Inference of demographic events of the recent past provides new insights into human evolutionary history. The sharing of Identical-By-Descent (IBD) haplotypes may be used to infer recent effective population size fluctuations, but accurate IBD detection is difficult in ancient DNA (aDNA) data and in underrepresented populations with limited reference data.
We developed an efficient non-parametric method for inferring recent effective population sizes, called HapNe. HapNe computes an approximate maximum-a-posteriori estimator based on either IBD sharing (HapNe-IBD), or on linkage disequilibrium (HapNe-LD), which does not require phasing and can be computed in low-coverage aDNA data.
We simulated a range of demographic scenarios and compared HapNe with IBDNe, an IBD-based method, and GONE, a recent LD-based method. Despite not relying on phasing information, LD-based methods were almost as accurate as IBD-based methods applied to ground truth IBD data, and outperformed IBD-based methods when IBD sharing was inferred. HapNe-LD tended to produce more accurate results than other approaches in the past 50 generations, while requiring fewer computational resources. HapNe may be applied to individuals with heterogeneous sampling time and is robust to missingness and reasonable levels of admixture.
We applied HapNe to several populations from both modern (1000 Genomes) and aDNA data sets, detecting multiple instances of recent effective population size variation across these groups."
"Trevor Cousins",,"Aylwyn Scally, Richard Durbin","University of Cambridge","Inference of population size changes, split-rejoin times, and admixture proportions from a single diploid genome sequence","Population genetics","coalescent, structure, population size changes, PSMC","Many existing demographic inference methods that attempt to discover the changes in a population’s effective size over time, such as the pairwise sequentially Markovian coalescent (PSMC), assume that a population evolved under panmixia. If a population experienced structure at some period in the past, these methods thus exhibit bias in their estimation of the population’s effective size. We investigate the underlying parameters of PSMC’s hidden Markov model and show that the transition matrix contains information that can reveal the presence of ancestral population structure. Specifically, we demonstrate that even if a panmictic and structured population have an identical coalescent rate, the transition matrix has enough information in some cases to distinguish the two evolutionary histories. Using just a single diploid sequence and leveraging the information provided in the transition matrix, we develop a new method that seeks to infer not just changes in effective population size over time, but also split-rejoin times and admixture proportions. Applying our method to numerous human individuals, we explore to what extent the observed increase in inverse coalescence rate 100-300k years ago is more consistent with population structure. "
"Martin Petr [1]",,"Benjamin C. Haller [2], Peter Ralph [3], Fernando Racimo [1]","[1] Lundbeck Foundation GeoGenetics Centre, GLOBE Institute, University of Copenhagen, Denmark, [2] Department of Computational Biology, Cornell University, Ithaca, NY, USA, [3] Institute of Ecology and Evolution, University of Oregon, Eugene, OR, USA","slendr: a framework for simulating spatio-temporal population genomic data on geographic landscapes","Population genetics;Phylogenetics","simulations, spatio-temporal statistics, tree sequences, demographic inference, ancient DNA","One of the goals of population genetics is to understand how evolutionary forces shape patterns of genetic variation over time. Because evolution acts across time and space, many evolutionary processes have a spatial component, acting through phenomena such as isolation by distance, local mate choice, or uneven distribution of resources. However, the spatial dimension of evolution is often neglected, partly due to the lack of tools designed for building and evaluating complex spatial population genetic models. To address this issue, we present a framework for simulating spatially-explicit genomic data, implemented in a new R package called slendr (www.slendr.net) using a tailor-made built-in back end written in SLiM, a forward population genetic simulator. This framework allows one to programmatically and visually encode population ranges and temporal dynamics (i.e., population displacements, expansions, and contractions) on real Earth landscapes or abstract, user-defined maps, and to specify population splits and gene-flow events, all using a simple declarative language. Additionally, slendr supports simulating traditional, random-mating non-spatial models using an alternative coalescent msprime back end. Together with an R-idiomatic interface to the tskit tree sequence library, slendr opens up the possibility of efficient, reproducible simulation of spatio-temporal genomic data entirely within the R environment, which we will demonstrate with several practical examples."
"Ekaterina Noskova",,"Vladimir Ulyantsev","ITMO University, 49 Kronverkskiy Pr., St. Petersburg 197101, Russia","GADMA2: New Features for Efficient and Flexible Demographic Inference","Population genetics","demographic history, demographic inference","Inference of complex demographic histories requires parameterized models specified manually by the researcher. With an increased variety of methods and tools, each with its own interface, model specification becomes tedious and error-prone. Moreover, the optimization algorithms used to find optimal parameters sometimes turn out to be inefficient. The open source software GADMA addresses these problems, providing automatic demographic inference. It proposes a common interface for several simulation engines and provides global optimization of parameters based on a genetic algorithm.

The initial version of GADMA featured only two simulation engines: ∂a∂i and moments.. Both of these engines have been improved since GADMA’s initial release. For example, ∂a∂i introduced inference of inbreeding coefficients, started to support demographic histories involving four and five populations and enabled GPU support. GADMA has to keep up with these changes, support new engines and further enhance its optimization algorithms.

Here, we introduce new features of GADMA2, the second version of GADMA software. The new simulation engines include momi2 and momentsLD. Optimization based on a genetic algorithm was improved by tuning hyperparameters. Moreover, a new flexible interface for specification of demographic history parameters enables inference of selection and inbreeding coefficients. We provide a full overview of GADMA2 enhancements and demonstrate several examples of their usage."
"Elena Rivas",,,"Harvard Unversity","An improved statistical test for conserved RNA helices","Functional genomics","evolutionary conservation of RNA structure, Functiona RNAs","Many functional RNAs depend on 3D structures. To distinguish RNA sequences with biologically relevant structures from those that do not, we use evolutionary conservation of RNA structure, which induces pairwise co- variation in RNA alignments. However, phylogeny also induce covariation, even in the absence of a conserved structure. Our method R-scape, simulates alignments to obtain the probability distribution of covariation due to phylogeny alone. R-scape infers significance considering base pairs as independent units, but RNA base pairs clus- ter together forming 3D helices. To increase sensitivity, we present a method that aggregates base-pair significance to infer significance for RNA helices. We show that aggregated helix statistics provide a more robust signal, while still showing lack of evidence for conserved structure in some important non-coding RNAs such as HOTAIR and XIST."
"Louis Ollivier",,,"LISN - Université Paris-Saclay","Yeast cell cycle specificity impact on demography inference","Population genetics;Natural selection","recombination, sexual reproduction, selection, SFS","The yeast, Saccharomyces cerevisiae, serves as an eukaryotic model organism for classical genetics and genomics to understand the principles of the eukaryotic life cycle. The canonical life cycle of S. cerevisiae consists of a regular alternation between haploid (n) and diploid phases (2n), known as a haplodiplophasic cycle. 

However, recent studies suggest that outcrossing events are less frequent than previously thought. Thus, this would induce less recombination events in the population, meaning less heterozygosity and then less diversity. Indeed, these events are estimated at frequencies ranging from 1 per 1000 generations to 1 per 50000 generations.

In this work, we wanted to see the effect of this specificity of S.cerevisiae cell cycle on the demography inference. For instance, we observe interesting results such as an excess of polymorphic sites at frequency 0.5 for simulations of populations with this cell cycle specificity. 
"
"Zoi Tsangalidou",,"Juba Nait Saada [1], Zoi Tsangalidou [1], Miriam Stricker [1], Pier Francesco Palamara [1,2]","[1] Department of Statistics, University of Oxford, Oxford, UK, [2] Wellcome Centre for Human Genetics, University of Oxford, Oxford, UK","Inference of pairwise coalescence times and allele ages using deep neural networks","Population genetics;Deep learning in genomics","Deep learning, Interpretability, Genomic variant dating, Heritability","Accurate inference of time to the most recent common ancestor (TMRCA) between pairs of individuals and of the age of genomic variants is key in several population genetic analyses, but requires complex analytical modeling.

We developed CoalNN, a likelihood-free approach which uses deep neural networks to predict pairwise TMRCAs, recombination breakpoints, and allele age from sequencing, SNP array, or imputed genotype data. CoalNN is trained through simulation, can be adapted to varying parameters such as demographic history, recombination rate maps, genotyping or phasing error rates, and scales to large data sets.

CoalNN improved over other available methods for TMRCA and allele age prediction in several simulated scenarios. We used saliency maps and input perturbations to demonstrate the interpretability of its predictions, and transfer learning to efficiently train it on multiple demographic models. We inferred allele ages in all 26 populations from the 1000 Genomes Project data and observed high correlation with published estimates (ARGweaver: r=0.66, Relate: r=0.81). CoalNN MAF-adjusted allele age estimates were also correlated with other evolutionary annotations (e.g. ASMC-avg: r=0.30, LLD-AFR: r=0.31) and were predictive of enriched heritability across multiple complex traits in an LD-score regression analysis.

These results underscore the efficacy of using deep neural networks to analyze genealogical relationships in large genomic data sets.
"
"Sakshi Khaiwal",,"Sakshi Khaiwal, Matteo De Chiara, Jonas Warringer, Dr Agnese Seminara, Dr Marco C. Lagomarsino, Dr Gianni Liti","Université Cote d'Azur","Machine learning based approaches for phenotypic prediction in natural populations.","Population genetics;Quantitative genetics;Methods for GWAS;Deep learning in genomics","Machine learning, Phenotype prediction, S. cerevisiae, complex phenotypes","Complex phenotypes are controlled by multiple genetic loci, the environment, and their interactions. To understand how the genetic variation of an organism influences its phenotype, we explore methods from machine learning (ML) to obtain models for predicting quantitative phenotypes. In this context, we use the budding yeast, S. cerevisiae,  as the model organisms for which we have obtained genomic and phenomic data. We use the information at the genomics, proteomics, and phenomics scale as the input features for the prediction of the phenotypes.  At the genomic scale, we have pan-genomic information such as variations in sequences as well as in genome content, such as presence/absence, copy number variation, and loss of function. In addition, we also have information about the gene expression level for 1100 genes that can be considered as intermediate phenotypes. The regression methods used for the prediction are Elastic Net, Ridge regression, Support Vector Machine (SVM), and Gradient boosting Machine (GBM). The models are optimized using a combination of randomized hyper-parameter tuning and cross-validation on a part of the dataset.  The ML pipeline was utilized for the prediction of phenotypes in ~200 environmental conditions based on different genetic and phenotypic level information as the features. We observed a large variation in the prediction accuracy of different phenotypes, suggesting that some phenotypes are easier to predict than others. 

"
"Moisès Coll Macià [1, 2]",," Graham Gower [2], Martin Peter [2] and Fernando Racimo [2]","[1] Bioinformatics Research Centre (BiRC), Aarhus University, Aarhus, Denmark
[2] Lundbeck GeoGenetics Centre, GLOBE Institute, University of Copenhagen, Copenhagen, Denmark","spaceNNtime: a neural network to predict the date and sampling location of ancient genomes","Population genetics;Deep learning in genomics","Spatiotemporal Inference, Artificial Neural Network, aDNA, simulations","Mutations arise in the genetic material transmitted in each generation, creating a unique molecular pattern that will only be inherited by the descendants of that lineage. Since individuals that are geographically close are more likely to mate, genetic kinship is generally correlated with geographical location. Moreover, because mutations accumulate over time, they can be used as temporal checkpoints, i.e. the presence or absence of a mutation in a sample bounds its date of existence. Therefore, the location and time in which an individual lived are encoded in their genome and kept in ancient remains. In this project, we develop spaceNNtime, an artificial neural network to predict both the date and the sampling location of ancient DNA samples. In its first phase, we assess the accuracy and precision of the method by training and testing it on simulated individuals. We then test its performance by introducing confounding factors such as sample size variability, lack of reference populations, increasing the mobility rate per individual or simulating genotype likelihoods (with varying error rates) instead of called genotypes. Our preliminary results show that predicting both space and time in the same model increases accuracy for time but not space. We expect spaceNNtime to perform well on real data, and it opens up the possibility of identifying misclassified museum samples, finding long-distance migrants and offering alternative ways to date ancient samples."
"Miriam Stricker",,"Miriam Stricker,1,+ Calliope Dendrou,4 Weijiao Zhang4, Wei-Yi Cheng,2 Satu Nahkuri,3,+,* Pier Francesco Palamara1,4,+,*","1Statistics Department, University of Oxford, 24-29 St Giles’, Oxford, OX1 3LB, United Kingdom
2Roche Pharma Research & Early Development Informatics, Roche Innovation Center New York, 7th Floor, 150 Clove Road, Little Falls, New Jersey 07424, USA
3Roche Pharma Research & Early Development Informatics, Roche Innovation Center Zürich, Roche Glycart AG, Wagistrasse 10, 8952 Schlieren, Switzerland
4 Wellcome Centre for Human Genetics, University of Oxford, Roosevelt Drive, Oxford, OX37BN, United Kingdom
+ Contact: miriam.stricker@wolfson.ox.ac.uk, satu.nahkuri@roche.com, palamara@stats.ox.ac.uk 
* Jointly supervised this work","Genome-wide classification of epigenetic signal reveals regions of enriched heritability in complex immune traits","Applications to cancer and other diseases;Functional genomics","human immune system, epigenetics","Epigenetics is known to play a key role in the regulation of adaptive and innate immune-system (AIIS) relevant genes that dictate the therapeutic course for many diseases, but the link between high-dimensional epigenetic data and AIIS traits has not been fully explored.
We built a classifier (ConvNet), called EpiNN, that leverages genome-wide epigenetic data to detect AIIS-relevant regions. We trained EpiNN using ChromHMM data for a handcrafted list of 477 AIIS genes (AUPRC=0.94) and scanned the human genome for new AIIS regions to build a genome-wide annotation of predicted AIIS relevance. Regions with predicted relevance >0.5 (N=1964) were enriched for immune-related function (GO PANTHER p=7e-21). We used LD-score regression coupled with genome-wide association statistics for 176 traits (avg N=262k) and detected significant heritability enrichments (|τ*| p<0.05/176) for 20 out of 26 immune-related traits. These effects remained significant after conditioning on 97 functional and evolutionary annotations, as well as Roadmap and ChromHMM annotations used to train EpiNN. In a meta-analysis of 64 independent traits, immune-related traits and diseases were 3.45x more enriched for heritability (p=9e-92) than non-immune system traits, highlighting the specificity of AIIS-relevant regions detected using EpiNN.
These results underscore the promise of leveraging supervised learning algorithms and epigenetic data to detect regions implicated in specific classes of heritable traits."
"Brieuc Lehmann [1]",,"Gregor Gorjanc [2], Jerome Kelleher [3], Peter Ralph [4], Georgia Tsambos [5]","[1] University College London, [2] University of Edinburgh, [3] University of Oxford, [4] University of Oregon, [5] University of Melbourne","Genetic relatedness through the lens of tree sequences","Population genetics;Quantitative genetics","Ancestral Recombination Graph, Tree Sequence, Principal Component Analysis, Genetic Relatedness","Genetic relatedness is a central concept in genetics, with this year marking the 100th anniversary of the seminal paper by Sewall Wright on 'Coefficients of inbreeding and relationship'. Genetic relatedness between individuals, or between populations, is of interest in its own right in population and quantitative genetics and their applications to human, animal, or plant settings. It also plays a crucial role in many downstream analyses, such as principal components analysis (PCA) in population genetics and phenotype prediction in quantitative genetics. Despite its importance, however, there is no single, agreed-upon measure of genetic relatedness, with numerous efforts having been made to first characterise the concept and subsequently estimate it from the available data. At its most general, genetic relatedness refers to some notion of similarity between individuals, where similarity can be defined according to pedigree, genotype, or genealogy. Here, we attempt to harmonise different notions of genetic relatedness via the tree sequence encoding of Ancestral Recombination Graphs. A tree sequence represents the relationships between a set of DNA sequences and provides an efficient way of storing genetic variation data. It also provides a natural way to describe genetic relatedness via the ancestral relationships encoded in the tree sequence. We demonstrate this using simple examples, and illustrate how to perform common analyses such as PCA directly on the tree sequence."
"Qunhua Li",,"Roopali Singh, Xiang Zhu","Pennsylvania State University","Reference-free deconvolution of cell mixtures in spatial transcriptomics data","Single cell -omics","Spatial transcriptomics, deconvolution, reference-free, NMF, Bayesian","Recent advances in spatial transcriptomics technologies have enabled the mapping of cell types to their spatial locations in tissues. Lack of single-cell resolution in spatial transcriptomics (ST) technologies produces gene expression from a mixture of potentially heterogeneous cells at each spot. Here, we present RETROFIT, a novel Bayesian non-negative matrix factorization framework to decompose cell type mixtures in ST data free of external single-cell expression references. RETROFIT outperforms existing reference-based methods in estimating cell type proportions and reconstructing gene expressions in simulations with varying spot size and sample heterogeneity, irrespective of the quality or availability of the single-cell reference. RETROFIT recapitulates known cell-type localization patterns in a Slide-seq dataset of mouse cerebellum without using any single-cell data. RETROFIT identifies biologically relevant spatial and temporal patterns in a Visium dataset of adult and fetal human intestine, and identifies cell-type specific genes associated with each developmental stage, revealing insights into human intestine development."
"Yuehao Xu",,"Yuehao Xu, Andreas Futschik, Ritabrata Dutta","[1] Department of Applied Statistics Johannes Kepler University Linz, Austria [2] Department of StatisticsUniversity of Warwick Coventry, UK. Yuehao Xu, Andreas Futschik [1] Ritabrata Dutta [2]","Joint likelihood-free inference of number of selected snps and  selection coefficient in an evolving population","Population genetics","Approximate Bayesian Computation, Selection, Population Genetics","The developments of software tools and methodologies in likelihood-free inference have brought the great potential to the inferential study in the field of population genetics. Approximate Bayesian Computation (ABC), is one of the most popular likelihood-free methods used to infer the parameters when the likelihood function is intractable. A common interest in the field of population genetics is the selection coefficients inference. Some approaches look at the data of the current state, but temporal data will capture more information about the evolutionary forces. To our best knowledge, there has been no detailed investigation of methodology that infers the number of selected SNPs from temporal data. In this work, we present an application of Simulated Annealing ABC (SABC) in inferring the number of selected SNPs and the corresponding selection coefficients from temporal allele frequencies data with the summary statistics providing information for the parameters we are interested in. Also, the discrepancy is measured by adaptive $\ell_1$ penalized logistics classification. We show that our method can accurately estimate the value of the selection coefficient and the number of selected targets across different population parameters and also provides uncertainty quantification. Comparison with numbers of existing methods like WFABC \citep{foll2015wfabc} and CLEAR\citep{iranmehr2017clear} is presented."
"Yuexuan Wang",,"Yuexuan Wang, Andreas Futschik, Ritabrata Dutta","[1] Department of Applied Statistics Johannes Kepler University Linz, Austria [2] Department of StatisticsUniversity of Warwick Coventry, UK. Yuexuan Wang, Andreas Futschik [1] Ritabrata Dutta [2]","Sparse Bayesian unbounded linear models with unknown design over finite alphabets","Population genetics","Haplotype reconstruction, Bayesian, Unknown Alphabet","In population genetics, the haplotype structure can provide crucial information. However, for many sequencing methods like pool sequencing, we only have allele frequency data at hand rather than haplotype information.  A new method to reconstruct the unknown haplotype structure $S$ and haplotype frequencies $\omega$ from the observed allele frequency data matrix $Y = S\omega+\varepsilon$ has been proposed in \cite{pelizzola2021multiple}. There $Y\in [0,1]^{N\times T}$ contains relative allele frequencies for $N$
SNPs from $T$ samples.  Since this approach leads only to point estimates, we provide a Bayesian approach to this problem.  More specifically, we propose a hierarchical Bayesian model with carefully calibrated hyperparameters and hyper-priors that also gives us credible intervals. 
In our case, the joint estimation is not unique if we do not have any constraint for the reconstruction. To achieve the identifiability condition in Bayesian inference, we introduce a shrinkage prior. And for the situation where the number of haplotypes is unknown, we perform model selection within our Bayesian framework to help us choose the number of haplotypes adaptively. "
"Michal Sadowski",,"Michal Sadowski, Mike Thompson, Richard Border, Sriram Sankararaman, Noah Zaitlen","University of California Los Angeles","TxEWAS: a novel approach to remove bias and improve power in gene-environment interaction studies","Methods for GWAS;Functional genomics","Gene-Environment Interactions, GxE, TWAS, DGLM, Pharmacogenetics","Though gene-environment interactions (GxE) are believed to be common across a wide range of phenotypes, few statistical interactions of this type have been identified by genome-wide association studies. This is because interaction effects at individual loci are typically small, and statistical power to detect them is further reduced by the multiple testing burden. Moreover, when identified, associations at individual SNPs are often difficult to interpret functionally. To improve these aspects of GxE association studies, we extended the TWAS framework to test for GxE effects in an imputed expression-trait association model—TxEWAS. TxEWAS first performs a GxE test using DGLM (logistic regression) for continuous (binary) traits, then employs a hierarchical FDR correction to call significant associations across multiple tissues. Importantly, TxEWAS accounts for the heterogeneity of phenotype variance - a thus far underappreciated source of bias in conventional GxE methods. Realistic simulations show that failing to account for this bias can cause a threefold increase in the false positive rate. We applied TxEWAS to 8 drug exposure-response pairs in the UK Biobank, where responses were measures of targets or side effects of the tested drugs, and identified 192 significant interacting genes. Together, these results demonstrate the power of the TxEWAS approach, and in particular, its potential to pinpoint genes that interact with drug treatments for more focused experimental testing"
"Habib Daneshpajouh",,"Habib Daneshpajouh, Hoang Dong Nguyen, Elijah Willie, Sepideh M. Alamouti, Shing H. Zhan","Fusion Genomics Corporation, Burnaby, BC, Canada","Pathogen detection in whole metagenome sequence data using a pangenome-informed probabilistic graphical model","Pathogen genomics","pathogen detection, probabilistic modelling, probabilistic graphical models, metagenome sequencing","Whole metagenome sequencing (WMS) holds the potential to transform clinical diagnosis of infectious diseases, which are caused by a broad and diverse array of pathogens. Clinical uptake of this emerging technology has been hampered by major laboratory and data analysis hurdles. Short read sequencing yields a complex mixture of nucleotide fragments of the genomes of pathogens, commensal microbes, and the host in a microbiome. Sifting through this tangle of sequences to detect pathogens requires computational approaches that account for multiple sources of uncertainty arising from read assignment ambiguity due to sequence homology among microbial genomes and sparse sampling of microbial genomes in specimens. Here, we propose a probabilistic graphical model (PGM) to assess statistical evidence for the presence of pathogens in WMS data. Design of the PGM is guided by priors informed by core pangenome analysis of pathogens and analysis of published microbial genome sequences from human microbiome projects. We utilize simulated data and real data from published WMS studies to evaluate the accuracy of the PGM to detect several major bacterial pathogens. Further, the flexible architecture of the PGM allows for extension of the model to handle sequence analysis tasks in WMS data beyond pathogen detection, including identification of antimicrobial resistance markers and virulence factors."
"Linh N. Tran[1,2]",,"Connie K. Sun[2], Mathews Sajan[2], Ryan N. Gutenkunst[2]","[1] Genetics Graduate Interdisciplinary Program, [2] Department of Molecular and Cellular Biology, University of Arizona","Inferring demographic history from allele frequency spectra with multi-layer perceptron regressors","Population genetics;Deep learning in genomics","Demographic inference, machine learning","Previously, our group had developed dadi, a software for inferring demographic history. Using dadi requires considerable understanding of the software and can be computationally expensive. In this work, we aim to improve the ease of use and lower the computational burden for users with supervised machine learning. For each dadi-supported demographic model, we simulate the expected allele frequency spectrum (AFS) under different demographic parameter values with dadi and train the scikit-learn Multi-layer Perceptron Regressor (MLPR) algorithm to infer these parameters from input AFS. We demonstrate that the trained MLPRs can infer the population-size-change parameters very well (ρ≈0.98) and other parameters such as migration rate and time of demographic event fairly well (ρ≈0.6-0.7). The trained MLPRs also perform well when tested on AFS generated by the msprime simulator, which includes linkage. Importantly, our trained MLPRs provide parameter predictions instantaneously from input AFS, with accuracy comparable to those inferred by dadi’s likelihood optimization while bypassing its computationally intensive evaluation process. We also implement an accompanying method for quantifying the uncertainty of the point estimates output by the trained regressors, using a scikit-learn-compatible package, MAPIE (Model Agnostic Prediction Interval Estimator). We show that this method provides better coverage for all demographic parameters tested compared to traditional bootstrapping."
"Andrew Vaughn",,"Andrew Vaughn, Rasmus Nielsen","UC Berkeley","Understanding Human Phylogeography Through Reconstructed Genealogies","Population genetics;Phylogenetics","Ancestral Recombination Graphs, Ancient Human History, Phylogeography","To understand human prehistory, scientists have utilized many diverse disciplines, including linguistics and archaeology. However, with the advent of whole-genome sequencing, and the ever-increasing number of high-quality genomes available, genetic analysis has emerged as a new way to shed light on human history in a way never before possible. This is because hidden in every person’s genome is evidence of their genealogical relationships to other individuals. With the development of methods to infer ancestral recombination graphs, as well as the sequencing of more and more ancient genomes, the information potential of genetic data has been greatly increased. We here use techniques from phylogenetics to model geographic location as a trait evolving along a phylogeny, estimate transition rates across a network of geographic locations, and estimate the locations of an individual’s ancestors. This approach can help answer many questions about human history, such as the timing of different admixture events and the geographic history of selected variants. A benefit of this approach is that we do not rely on a priori models of admixture or the classification of samples into different historic groups. Overall, this presents a very flexible framework for understanding human history that leverages the geographic and temporal diversity of sequences at our disposal."
"Or Zuk",,"Doron Stupp, Elad Sharon, Idit Bloch, Marinka Zitnik, Yuval Tabach","Dept. of Statistics and Data Science, The Hebrew University of Jerusalem","Co-evolution based machine-learning for predicting functional interactions between human genes","Applications to cancer and other diseases;Functional genomics;Phylogenetics","Gradient Boosting, Phylogeny, Protein function predictions, Phylogenetic profiling, Co-evolution","Over the next decade, more than a million eukaryotic species are expected to be fully sequenced. This has the potential to improve our understanding of genotype and phenotype crosstalk, gene function and interactions, and answer evolutionary questions. Here, we develop a machine-learning approach for utilizing phylogenetic profiles across 1154 eukaryotic species. This method integrates co-evolution across eukaryotic clades to predict functional interactions between human genes and the context for these interactions. We benchmark our approach showing a 14% performance increase (auROC) compared to previous methods. Using this approach, we predict functional annotations for less studied genes. We focus on DNA repair and verify that 9 of the top 50 predicted genes have been identified elsewhere, with others previously prioritized by high-throughput screens. Overall, our approach enables better annotation of function and functional interactions and facilitates the understanding of evolutionary processes underlying co-evolution. "
"Or Zuk",,"Shai Carmi, Daniel Backenroth, Ehud Karavani, Todd Lencz","Dept. of Statistics and Data Science, The Hebrew University of Jerusalem, Israel","Polygenic embryo screening for multiple continuous and disease traits","Population genetics;Quantitative genetics;Applications to cancer and other diseases","polygenic scores, multivariate Gaussian, embryo selection, complex traits, extreme value theory","The increasing proportion of variance in human complex traits explained by polygenic scores, along with progress in preimplantation genetic diagnosis, suggests the possibility of screening embryos for continuous traits such as height or for genetic liability to adult diseases.
However, comprehensive modeling of expected benefits and risks is lacking.
We model jointly the polygenic risk of multiple diseases and traits for multiple embryos, using a multivariate Gaussian model for the risk score, together with the liability threshold model for diseases.
Using this model, we develop numeric computations and asymptotic formulas for the expected gains when screening for multiple traits simultaneously as a function of the genetic variance explained and genetic correlations between traits, the number of embryos screened, and the parents' risk score and disease status.

Based on joint works with Shai Carmi, Daniel Backenroth, Ehud Karavani, Todd Lencz and others"
"Georgios Kalantzis",,"Georgios Kalantzis [1], Ali Pazokitoroudi [2], Han Chen [3,4], Sriram Sankararaman [2,5,6], Pier Palamara [1,7]","[1] Department of Statistics, University of Oxford, Oxford, UK, [2] Department of Computer Science, UCLA, Los Angeles, USA, [3] Human Genetics Center, Department of Epidemiology, Human Genetics and Environmental Sciences, School of Public Health, The University of Texas Health Science Center at Houston, Houston, Texas, USA, [4] Center for Precision Health, School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA, [5] Department of Human Genetics, David Geffen School of Medicine, UCLA, Los Angeles, USA, [6] Department of Computational Medicine, David Geffen School of Medicine, UCLA, Los Angeles, USA, [7] Wellcome Centre for Human Genetics, University of Oxford, Oxford, UK","A scalable framework for robust linear mixed model association testing","Quantitative genetics;Methods for GWAS","GWAS, Association, LMM, variance components, UK Biobank, population stratification","Linear mixed models (LMMs) offer state-of-the-art performance in genome-wide association studies but are computationally demanding when the number of analyzed individuals and traits increases. We developed a framework, MTMA, that remains scalable while preserving statistical power and robustness to confounding. MTMA relies on moment-based multiple variance component estimation and can be used to analyze multiple quantitative traits in parallel.
We simulated traits with realistic MAF/LD-dependent architectures, using sets of 50K UK Biobank (UKB) samples of varying levels of relatedness or population structure. We compared MTMA with BOLT-LMM, Regenie, FastGWA, and linear regression (linReg). In samples of homogeneous ancestry MTMA achieved an increase in association power similar to that of BOLT-LMM-Inf compared to linReg (+1.5-4% χ2 on top SNPs). In structured samples MTMA and BOLT-LMM-Inf yielded a better calibration of false positive rates compared to other approaches. MTMA was the most scalable LMM method in analyses of up to 50K individuals and remained scalable in larger data sets (e.g. ~5 days for 20 traits, N=446K), where other LMM approximations were faster.
We also analyzed highly structured multi-ancestry UKB samples, where different association strategies led to trade-offs between the number of detected signals and their replication rate in Biobank Japan, highlighting the importance of developing scalable and robust LMM algorithms for heterogeneous biobanks."
"Andreas Futschik [1]",,"Howard Chen [2], Marta Pelizzola [3]","[1] Johannes Kepler University Linz, [2] University of Veterinary Medicine Vienna, [3] Aarhus University, Denmark","Haplotype based testing for a better understanding of the selective architecture","Population genetics;Natural selection","experimental evolution, multiple hypothesis testing","The identification of genomic regions affected by selection is an important goal in population genetics. If temporal data are available, allele frequency changes at SNP positions are often used. When a large number of SNP positions is tested, a multiple testing correction is needed to avoid false positives due to genetic drift.
Here we provide a new testing approach that uses
haplotype frequencies instead of allele frequencies. With this approach less multiple testing correction is needed, which leads to tests with higher power, especially when the number of candidate haplotypes is small or moderate. For a larger number of haplotypes, we propose haplotype block based methods. The use of haplotypes also permits for a better understanding of selective signatures. For this purpose we propose post-hoc tests for the number and difference in strength of the selected haplotypes."
"Malthe Sebro Rasmussen [1]",,"Genís Garcia-Erill [1], Thorfinn Sand Kornelliussen [2], Carsten Wiuf [3], Anders Albrechtsen [1]","[1] Department of Biology, University of Copenhagen, [2] Lundbeck GeoGenetics Centre, GLOBE Institute, University of Copenhagen, [3] Department of Mathematical Sciences, University of Copenhagen","Improved Estimation of the Site Frequency Spectrum from Low-Depth Sequencing Data","Population genetics","Site Frequency Spectrum, Optimisation, Expectation-Maximisation, NGS","The site frequency spectrum (""SFS"") is the joint distribution of allele frequencies from one or more populations. Several important summary statistics are functions of the SFS, which is also used for inference on selection and demography. It is straightforward to estimate the SFS directly from called genotypes, but this is known to bias the SFS when working from low-depth next-generation sequencing (""NGS"") data. To address this problem, the SFS may be estimated from genotype likelihoods using an expectation-maximization (""EM"") algorithm, and this has become the standard approach in studies based on low-depth NGS data.

The standard EM approach requires holding all data in RAM and iterating over it dozens of times; this places significant demands on computational resources as sample size and number of sites increase, to the point where it is often impossible to run without significantly downsampling the input data. In addition, the standard SFS EM is prone to overfitting in the multidimensional setting.

To address these issues, we have developed a new, stochastic ""window EM"" algorithm to estimate the SFS. Briefly, the algorithm optimizes smaller blocks of data and averages these over larger windows. Using this method, we show that we are able to effectively estimate the SFS much faster and with constant, trivial RAM usage. At the same time, the window-based method induces regularization to greatly reduce overfitting, and we demonstrate that this improves downstream inference."
